1	4	N3E	ASN	17666	ὕψος	ὑψος	υψος	ὕψος				U(/YOS	U(/YOS
1	4	N3E	GPM	10050	πηχῶν	πηχων	πηχων	πῆχυς				PHXW=N	PH=XUS
1	4	M		7	ἑβδομήκοντα	ἑβδομηκοντα	εβδομηκοντα	ἑβδομήκοντα				E(BDOMH/KONTA	E(BDOMH/KONTA
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	RA	ASN	10	τὸ	το	το	ὁ				TO\	O(
1	4	N3E	ASN	17666	πλάτος	πλατος	πλατος	πλάτος				PLA/TOS	PLA/TOS
1	4	RD	GSF	11	αὐτῆς	αὐτης	αυτης	αὐτός				AU)TH=S	AU)TO/S
1	4	N3E	APM	9986	πήχεις	πηχεις	πηχεις	πῆχυς				PH/XEIS	PH=XUS
1	4	M		7	τεσσαράκοντα	τεσσαρακοντα	τεσσαρακοντα	τεσσαράκοντα				TESSARA/KONTA	TESSARA/KONTA
1	4	P		8	εἰς	εἰς	εις	εἰς				EI)S	EI)S
1	4	N2	APF	14082	ἐξόδους	ἐξοδους	εξοδους	ἔξοδος				E)CO/DOUS	E)/CODOS
1	4	N3I	GSF	13634	δυνάμεως	δυναμεως	δυναμεως	δύναμις				DUNA/MEWS	DU/NAMIS
1	4	A1	GPM	10051	δυνατῶν	δυνατων	δυνατων	δυνατός				DUNATW=N	DUNATO/S
1	4	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός				AU)TOU=	AU)TO/S
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	N3I	APF	14082	διατάξεις	διαταξεις	διαταξεις	διάταξις				DIATA/CEIS	DIA/TACIS
1	4	RA	GPM	10	τῶν	των	των	ὁ				TW=N	O(
1	4	A1	GPM	10051	πεζῶν	πεζων	πεζων	πεζός				PEZW=N	PEZO/S
1	4	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός			.	AU)TOU=	AU)TO/S
1	5	C		4	καὶ	και	και	καί				KAI\	KAI/
1	5	VAI	AAI3S	633473	ἐποίησεν	ἐποιησεν	εποιησεν	ποιέω				E)POI/HSEN	POIE/W
1	5	N2	ASM	9474	πόλεμον	πολεμον	πολεμον	πόλεμος				PO/LEMON	PO/LEMOS
1	5	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	5	RA	DPF	10	ταῖς	ταις	ταις	ὁ				TAI=S	O(
1	5	N1A	DPF	14210	ἡμέραις	ἡμεραις	ημεραις	ἡμέρα				H(ME/RAIS	H(ME/RA
1	5	RD	DPF	11	ἐκείναις	ἐκειναις	εκειναις	ἐκεῖνος				E)KEI/NAIS	E)KEI=NOS
1	5	RA	NSM	10	ὁ	ὁ	ο	ὁ				O(	O(
1	5	N3V	NSM	9346	βασιλεὺς	βασιλευς	βασιλευς	βασιλεύς				BASILEU\S	BASILEU/S
1	5	N	NSM	9346	Ναβουχοδονοσορ	ναβουχοδονοσορ	ναβουχοδονοσορ	Ναβουχοδονοσόρ				*NABOUXODONOSOR	*NABOUXODONOSOR
1	5	P		8	πρὸς	προς	προς	πρός				PRO\S	PRO/S
1	5	N3V	ASM	9474	βασιλέα	βασιλεα	βασιλεα	βασιλεύς				BASILE/A	BASILEU/S
1	5	N	ASM	9474	Αρφαξαδ	αρφαξαδ	αρφαξαδ	Ἀρφαξάδ				*ARFACAD	*ARFACAD
1	5	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	5	RA	DSN	10	τῷ	τω	τω	ὁ				TW=|	O(
1	5	N2N	DSN	17794	πεδίῳ	πεδιω	πεδιω	πεδίον				PEDI/W|	PEDI/ON
1	5	RA	DSN	10	τῷ	τω	τω	ὁ				TW=|	O(
1	5	A1	DSN	17795	μεγάλῳ	μεγαλω	μεγαλω	μέγας			,	MEGA/LW|	ME/GAS
1	5	RD	NSN	11	τοῦτό	τουτο	τουτο	οὗτος				TOU=TO/	OU(=TOS
1	5	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί				E)STIN	EI)MI/
1	5	N2N	NSN	17538	πεδίον	πεδιον	πεδιον	πεδίον				PEDI/ON	PEDI/ON
1	5	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	5	RA	DPN	10	τοῖς	τοις	τοις	ὁ				TOI=S	O(
1	5	N2N	DPN	18306	ὁρίοις	ὁριοις	οριοις	ὅριον				O(RI/OIS	O(/RION
1	5	N	GS	5442	Ραγαυ	ραγαυ	ραγαυ	Ῥαγαῦ			.	*RAGAU	*RAGAU
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	VAI	AAI3P	895617	συνήντησαν	συνηντησαν	συνηντησαν	συναντάω				SUNH/NTHSAN	A)NTA/W          SUN
1	6	P		8	πρὸς	προς	προς	πρός				PRO\S	PRO/S
1	6	RD	ASM	11	αὐτὸν	αὐτον	αυτον	αὐτός				AU)TO\N	AU)TO/S
1	6	A3	NPM	9859	πάντες	παντες	παντες	πᾶς				PA/NTES	PA=S
1	6	RA	NPM	10	οἱ	οἱ	οι	ὁ				OI(	O(
1	6	V2	PAPNPM	5055937	κατοικοῦντες	κατοικουντες	κατοικουντες	κατοικέω				KATOIKOU=NTES	OI)KE/W          KATA
1	6	RA	ASF	10	τὴν	την	την	ὁ				TH\N	O(
1	6	N1	ASF	13570	ὀρεινὴν	ὀρεινην	ορεινην	ὀρεινός				O)REINH\N	O)REINH/
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	A3	NPM	9859	πάντες	παντες	παντες	πᾶς				PA/NTES	PA=S
1	6	RA	NPM	10	οἱ	οἱ	οι	ὁ				OI(	O(
1	6	V2	PAPNPM	5055937	κατοικοῦντες	κατοικουντες	κατοικουντες	κατοικέω				KATOIKOU=NTES	OI)KE/W          KATA
1	6	RA	ASM	10	τὸν	τον	τον	ὁ				TO\N	O(
1	6	N1M	ASM	9474	Εὐφράτην	εὐφρατην	ευφρατην	Εὐφράτης				*EU)FRA/THN	*EU)FRA/THS
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	RA	ASM	10	τὸν	τον	τον	ὁ				TO\N	O(
1	6	N	ASM	9474	Τίγριν	τιγριν	τιγριν	Τίγρις				*TI/GRIN	*TI/GRIS
