1	4	VK	XMI3S	638081	παρατέτακται	παρατετακται	παρατετακται	παρατάσσω				PARATE/TAKTAI	TA/SSW           PARA
1	4	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος				KU/RIOS	KU/RIOS
1	4	P		8	ἕως	ἑως	εως	ἕως				E(/WS	E(/WS
1	4	N3W	GSM	9538	αἰῶνος	αἰωνος	αιωνος	αἰών			.	AI)W=NOS	AI)W/N
1	5	C		4	καὶ	και	και	καί				KAI\	KAI/
1	5	RA	NPM	10	οἱ	οἱ	οι	ὁ				OI(	O(
1	5	N2	NPM	9858	ὀφθαλμοὶ	ὀφθαλμοι	οφθαλμοι	ὀφθαλμός				O)FQALMOI\	O)FQALMO/S
1	5	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν				U(MW=N	SU/
1	5	VF	FMI3P	899201	ὄψονται	ὀψονται	οψονται	ὁράω			,	O)/YONTAI	O(RA/W
1	5	C		4	καὶ	και	και	καί				KAI\	KAI/
1	5	RP	NP	13	ὑμεῖς	ὑμεις	υμεις	ὑμεῖς				U(MEI=S	SU/
1	5	VF2	FAI2P	895105	ἐρεῖτε	ἐρειτε	ερειτε	ἐρέω				E)REI=TE	EI)=PON
1	5	VCI	API3S	641665	Ἐμεγαλύνθη	ἐμεγαλυνθη	εμεγαλυνθη	μεγαλύνω				E)MEGALU/NQH	MEGALU/NW
1	5	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος				KU/RIOS	KU/RIOS
1	5	D		9	ὑπεράνω	ὑπερανω	υπερανω	ὑπεράνω				U(PERA/NW	U(PERA/NW
1	5	RA	GPN	10	τῶν	των	των	ὁ				TW=N	O(
1	5	N2N	GPN	18242	ὁρίων	ὁριων	οριων	ὅριον				O(RI/WN	O(/RION
1	5	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	5	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ			.	*ISRAHL	*I)SRAH/L
1	6	N2	NSM	9346	Υἱὸς	υἱος	υιος	υἱός				UI(O\S	UI(O/S
1	6	V1	PAI3S	631937	δοξάζει	δοξαζει	δοξαζει	δοξάζω				DOCA/ZEI	DOCA/ZW
1	6	N3	ASM	9474	πατέρα	πατερα	πατερα	πατήρ				PATE/RA	PATH/R
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	N2	NSM	9346	δοῦλος	δουλος	δουλος	δοῦλος				DOU=LOS	DOU=LOS
1	6	RA	ASM	10	τὸν	τον	τον	ὁ				TO\N	O(
1	6	N2	ASM	9474	κύριον	κυριον	κυριον	κύριος				KU/RION	KU/RIOS
1	6	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός			.	AU)TOU=	AU)TO/S
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	C		4	εἰ	εἰ	ει	εἰ				EI)	EI)
1	6	N3	NSM	9346	πατήρ	πατηρ	πατηρ	πατήρ				PATH/R	PATH/R
1	6	V9	PAI1S	599169	εἰμι	εἰμι	ειμι	εἰμί				EI)MI	EI)MI/
1	6	RP	NS	13	ἐγώ	ἐγω	εγω	ἐγώ			,	E)GW/	E)GW/
1	6	D		9	ποῦ	που	που	ποῦ				POU=	POU=
1	6	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί				E)STIN	EI)MI/
1	6	RA	NSF	10	ἡ	ἡ	η	ὁ				H(	O(
1	6	N1S	NSF	13442	δόξα	δοξα	δοξα	δόξα				DO/CA	DO/CA
1	6	RP	GS	13	μου	μου	μου	μου			;	MOU	E)GW/
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	C		4	εἰ	εἰ	ει	εἰ				EI)	EI)
1	6	N2	NSM	9346	κύριός	κυριος	κυριος	κύριος				KU/RIO/S	KU/RIOS
1	6	V9	PAI1S	599169	εἰμι	εἰμι	ειμι	εἰμί				EI)MI	EI)MI/
1	6	RP	NS	13	ἐγώ	ἐγω	εγω	ἐγώ			,	E)GW/	E)GW/
1	6	D		9	ποῦ	που	που	ποῦ				POU=	POU=
1	6	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί				E)STIN	EI)MI/
1	6	RA	NSM	10	ὁ	ὁ	ο	ὁ				O(	O(
1	6	N2	NSM	9346	φόβος	φοβος	φοβος	φόβος				FO/BOS	FO/BOS
1	6	RP	GS	13	μου	μου	μου	μου			;	MOU	E)GW/
1	6	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω				LE/GEI	LE/GW
1	6	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος				KU/RIOS	KU/RIOS
1	6	N3R	NSM	9346	παντοκράτωρ	παντοκρατωρ	παντοκρατωρ	παντοκράτωρ			.	PANTOKRA/TWR	PANTOKRA/TWR
1	6	RP	NP	13	ὑμεῖς	ὑμεις	υμεις	ὑμεῖς				U(MEI=S	SU/
1	6	RA	NPM	10	οἱ	οἱ	οι	ὁ				OI(	O(
1	6	N3V	NPM	9858	ἱερεῖς	ἱερεις	ιερεις	ἱερεύς				I(EREI=S	I(EREU/S
1	6	RA	NPM	10	οἱ	οἱ	οι	ὁ				OI(	O(
1	6	V1	PAPNPM	5055937	φαυλίζοντες	φαυλιζοντες	φαυλιζοντες	φαυλίζω				FAULI/ZONTES	FAULI/ZW
1	6	RA	ASN	10	τὸ	το	το	ὁ				TO\	O(
1	6	N3M	ASN	17666	ὄνομά	ὀνομα	ονομα	ὄνομα				O)/NOMA/	O)/NOMA
1	6	RP	GS	13	μου	μου	μου	μου			·	MOU	E)GW/
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	VAI	AAI2P	895617	εἴπατε	εἰπατε	ειπατε	ἔπω				EI)/PATE	EI)=PON
1	6	P		8	Ἐν	ἐν	εν	ἐν				E)N	E)N
1	6	RI	DSN	12	τίνι	τινι	τινι	τίς				TI/NI	TI/S
1	6	VAI	AAI1P	862849	ἐφαυλίσαμεν	ἐφαυλισαμεν	εφαυλισαμεν	φαυλίζω				E)FAULI/SAMEN	FAULI/ZW
1	6	RA	ASN	10	τὸ	το	το	ὁ				TO\	O(
1	6	N3M	ASN	17666	ὄνομά	ὀνομα	ονομα	ὄνομα				O)/NOMA/	O)/NOMA
1	6	RP	GS	13	σου	σου	σου	σοῦ			;	SOU	SU/
1	7	V1	PAPNPM	5055937	προσάγοντες	προσαγοντες	προσαγοντες	προσάγω				PROSA/GONTES	A)/GW            PROS
1	7	P		8	πρὸς	προς	προς	πρός				PRO\S	PRO/S
1	7	RA	ASN	10	τὸ	το	το	ὁ				TO\	O(
1	7	N2N	ASN	17666	θυσιαστήριόν	θυσιαστηριον	θυσιαστηριον	θυσιαστήριον				QUSIASTH/RIO/N	QUSIASTH/RION
1	7	RP	GS	13	μου	μου	μου	μου				MOU	E)GW/
1	7	N2	APM	9986	ἄρτους	ἀρτους	αρτους	ἄρτος				A)/RTOUS	A)/RTOS
1	7	VDI	APPAPM	5131201	ἠλισγημένους	ἠλισγημενους	ηλισγημενους	ἀλισγέω			.	H)LISGHME/NOUS	A)LISGE/W
1	7	C		4	καὶ	και	και	καί				KAI\	KAI/
1	7	VAI	AAI2P	895617	εἴπατε	εἰπατε	ειπατε	ἔπω				EI)/PATE	EI)=PON
1	7	P		8	Ἐν	ἐν	εν	ἐν				E)N	E)N
1	7	RI	DSN	12	τίνι	τινι	τινι	τίς				TI/NI	TI/S
1	7	VAI	API1P	871041	ἠλισγήσαμεν	ἠλισγησαμεν	ηλισγησαμεν	ἀλισγέω				H)LISGH/SAMEN	A)LISGE/W
1	7	RD	APM	11	αὐτούς	αὐτους	αυτους	αὐτός			;	AU)TOU/S	AU)TO/S
1	7	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	7	RA	DSN	10	τῷ	τω	τω	ὁ				TW=|	O(
1	7	V1	PAN	304513	λέγειν	λεγειν	λεγειν	λέγω				LE/GEIN	LE/GW
1	7	RP	AP	13	ὑμᾶς	ὑμας	υμας	ὑμᾶς				U(MA=S	SU/
1	7	N1A	NSF	13442	Τράπεζα	τραπεζα	τραπεζα	τράπεζα				TRA/PEZA	TRA/PEZA
